aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
bj08amba3g5.aig,9,32,1,9716,486,137,0.281893004115226,0,0.419152498245239,34,0.069958847736626,0,0.83137059211731,Init3,false,0,115.462397,1,486,1
pdtvisvending06.aig,2,34,1,952,805,805,1,0,0.118416786193848,805,1,0,0.178942441940308,Init2,false,2,0.172434,1,805,1
pdtvisvending10.aig,2,34,1,952,1000,1000,1,0,0.118272066116333,1000,1,0,0.22964882850647,Init2,false,2,0.171791,1,1000,1
texasPImainp05.aig,14,239,1,7997,988,0,0,0,0.569801092147827,2,0.002024291497976,0,0.680710315704346,Init2,false,8,4.485268,6,5,0.005060728744939
pdtvisvsar00.aig,17,130,1,2101,256,154,0.6015625,0,0.168164730072021,255,0.99609375,0,0.278646230697632,Init4,false,0,0.346583,1,256,1
pdtvisvending05.aig,2,34,1,951,713,211,0.295932678821879,0,0.318770885467529,293,0.4109396914446,0,0.229328632354736,Init4,false,0,1.045361,1,713,1
viscoherencep3.aig,8,37,1,1610,916,6,0.006550218340611,0,0.318741083145142,2,0.002183406113537,0,0.730058193206787,Init2,false,8,0.221505,8,18,0.019650655021834
pdtvisns2p5.aig,16,75,1,2514,760,760,1,0,0.218982458114624,760,1,0,0.328796625137329,Init2,false,2,0.272321,1,760,1
pdtvistictactoe13.aig,4,33,1,870,969,72,0.074303405572756,0,0.16895318031311,51,0.052631578947369,0,0.279499530792236,Init4,false,0,94.116244,1,969,1
nusmvtcastp2.aig,152,173,1,2780,1000,248,0.248,0,4.52784943580627,220,0.22,0,8.50129270553589,Init2,false,32,1.074501,14,510,0.51
bobuns2p10d80l.aig,80,80,1,16543,1000,1000,1,0,4.73075699806213,1000,1,0,8.40225791931152,Init2,false,2,5.538531,1,1000,1
pdtvismiim5.aig,41,86,1,888,557,377,0.676840215439856,0,0.068270921707153,74,0.132854578096948,0,0.178830623626709,Init4,false,0,0.344225,1,557,1
pdtvisns3p03.aig,21,117,1,3985,683,0,0,0,5.68241310119629,0,0,0,66.3094248771668,Init2,false,2,50.663223,12,10,0.014641288433382
pdtvisvsa16a31.aig,32,236,1,6636,493,493,1,0,0.569337844848633,493,1,0,0.931031227111816,Init2,false,2,0.723522,1,493,1
pdtvisheap10.aig,4,33,1,1149,941,941,1,0,0.118481636047363,941,1,0,0.179073095321655,Init2,false,2,0.172001,1,941,1
pj2018.aig,514,528,1,25855,1000,19,0.019,0,64.1413424015045,18,0.018,0,27.6517655849457,Init2,false,32,9.553301,11,52,0.052
pj2003.aig,1243,1175,1,34333,962,412,0.428274428274428,0,3.77815079689026,526,0.546777546777547,0,15.5718815326691,Init2,false,32,4.986549,2,851,0.884615384615385
pdtvistictactoe10.aig,4,33,1,863,991,76,0.076690211907165,0,0.069315910339356,76,0.076690211907165,0,0.179174423217773,Init4,false,0,8.466494,1,991,1
bj08aut1.aig,2,3,1,119,657,261,0.397260273972603,0,0.020212888717651,261,0.397260273972603,0,0.078624248504639,Init4,false,0,0.046278,1,657,1
beemmcs6f1.aig,65,179,1,1414,598,9,0.01505016722408,0,71.0069038867951,0,0,1,1200.01542615891,Init2,false,32,5.486853,13,4,0.006688963210702
pdtvisheap01.aig,4,33,1,1153,629,629,1,0,0.118260860443115,629,1,0,0.17885422706604,Init2,false,2,0.124731,1,629,1
